City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,high rock,26.62,-78.28,73.98,76,77,25.17,BS,1589437697
1,turukhansk,65.82,87.98,45.73,53,0,7.65,RU,1589437099
2,cariati,39.49,16.96,73.0,52,88,11.41,IT,1589437697
3,aklavik,68.22,-135.01,20.98,95,99,5.44,CA,1589437118
4,rochester,43.15,-77.62,42.01,74,75,6.4,US,1589437484
5,albany,42.6,-73.97,43.0,86,0,4.14,US,1589437698
6,graaff-reinet,-32.25,24.53,44.01,82,0,1.01,ZA,1589437447
7,lublin,51.0,23.0,44.6,93,40,6.93,PL,1589437698
8,saint-philippe,-21.36,55.77,80.6,51,36,5.82,RE,1589437656
9,new norfolk,-42.78,147.06,60.01,77,92,3.0,AU,1589437698
10,fortuna,40.6,-124.16,54.0,87,90,6.93,US,1589437699
11,punta arenas,-53.15,-70.92,39.2,71,75,8.05,CL,1589437699
12,jamestown,42.1,-79.24,39.99,41,1,5.19,US,1589437642
13,hermanus,-34.42,19.23,50.0,97,0,1.01,ZA,1589437645
14,amboise,47.41,0.98,42.8,75,54,16.11,FR,1589437699
15,maragogi,-9.01,-35.22,77.31,86,6,9.22,BR,1589437699
16,qaanaaq,77.48,-69.36,33.24,82,27,3.83,GL,1589437700
17,cape town,-33.93,18.42,54.0,93,0,2.24,ZA,1589437524
18,aksu,41.12,80.26,85.19,15,0,7.87,CN,1589437700
19,tessalit,20.2,1.01,83.01,31,31,7.58,ML,1589437700
20,vila do maio,15.13,-23.22,71.6,73,75,21.92,CV,1589437700
21,rikitea,-23.12,-134.97,77.74,84,0,9.04,PF,1589437657
22,alta floresta,-9.88,-56.09,70.27,97,100,3.38,BR,1589437701
23,chokurdakh,70.63,147.92,34.03,96,18,7.92,RU,1589437701
24,castro,-24.79,-50.01,57.04,97,60,3.42,BR,1589437701
25,ushuaia,-54.8,-68.3,41.0,80,75,3.36,AR,1589437701
26,port blair,11.67,92.75,79.77,87,100,11.54,IN,1589437641
27,luderitz,-26.65,15.16,60.8,48,0,5.82,NA,1589437126
28,taltal,-25.4,-70.48,57.92,68,0,3.6,CL,1589437702
29,bilibino,68.05,166.44,36.88,79,16,6.44,RU,1589437702
30,phalodi,27.13,72.37,101.48,23,0,13.51,IN,1589437702
31,tabou,4.42,-7.35,80.02,83,12,3.02,CI,1589437703
32,yellowknife,62.46,-114.35,23.0,62,78,18.01,CA,1589437477
33,torbay,47.67,-52.73,34.0,79,100,5.01,CA,1589437703
34,cotui,19.05,-70.15,77.0,94,75,11.41,DO,1589437703
35,barentu,15.11,37.59,94.46,19,7,11.21,ER,1589437703
36,saldanha,-33.01,17.94,48.2,87,0,2.24,ZA,1589437666
37,hithadhoo,-0.6,73.08,83.43,79,83,19.42,MV,1589437704
38,clyde river,70.47,-68.59,20.16,92,0,2.42,CA,1589437704
39,kapaa,22.08,-159.32,75.2,83,90,5.82,US,1589437704
40,bluff,-46.6,168.33,51.17,76,80,17.38,NZ,1589437705
41,muroto,33.28,134.15,71.6,68,20,5.82,JP,1589437705
42,kinablangan,7.69,126.55,85.84,76,100,10.25,PH,1589437705
43,mataura,-46.19,168.86,48.96,72,76,4.99,NZ,1589437705
44,cherskiy,68.75,161.3,35.92,85,21,8.93,RU,1589437705
45,bintulu,3.17,113.03,93.2,75,75,6.93,MY,1589437706
46,butaritari,3.07,172.79,83.44,79,14,12.3,KI,1589437706
47,svetlaya,46.54,138.33,53.02,60,33,7.25,RU,1589437706
48,avera,33.19,-82.53,62.6,87,1,3.36,US,1589437706
49,pangnirtung,66.15,-65.71,18.86,90,52,3.67,CA,1589437126
50,souillac,-20.52,57.52,77.0,73,40,12.75,MU,1589437706
51,guerande,47.33,-2.43,44.6,70,51,13.87,FR,1589437707
52,jieshi,22.81,115.83,78.58,78,34,10.29,CN,1589437707
53,tezu,27.92,96.17,91.71,31,44,5.28,IN,1589437707
